Label,Subtype Type,Tags,Summary,Live on-chain,Description,URL,Image,Main Ecosystem,Twitter,Community,Whitepaper,Documentation,Confidence Level,Contact Info,Geographic Focus,v1,v2,v3
Allied Offsets,Data,Vertical,"We are the world’s first aggregated data
source for carbon offsetting. Our AI and advanced analytics layer allows us to identify unique insights into project pricing, quality, and more. Our data has been used by leading project developers, buyers, and financial institutions in this space.",,"An online interactive platform containing our full database of 17,000+ carbon offsetting projects around the world, refreshed daily with updates direct from the registries. Furthermore, analyze the voluntary carbon market in hundreds of ways: Sustainable Development goals, project types, retirement details, etc.; identify potential buyers of credits, projects and project developers, brokers and resellers, verifiers, and other entities in the market; and understand the estimated wholesale prices of credits, as well as the prices that resellers are charging for projects on retail platforms.",https://alliedoffsets.com/#/,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZpZXdCb3g9IjAgMCAxODEuNTkgMzQuNjYiPjxkZWZzPjxzdHlsZT4uY2xzLTF7ZmlsbDojMDI4ZTRiO308L3N0eWxlPjwvZGVmcz48dGl0bGU+QXNzZXQgMTwvdGl0bGU+PGcgaWQ9IkxheWVyXzIiIGRhdGEtbmFtZT0iTGF5ZXIgMiI+PGcgaWQ9IkNhcGFfMSIgZGF0YS1uYW1lPSJDYXBhIDEiPjxwYXRoIGNsYXNzPSJjbHMtMSIgZD0iTTQyLDE1LjA3SDQ1LjZMNTMsMzQuMjhINDkuNEw0Ny42LDI5LjJIMzkuOTNsLTEuOCw1LjA4SDM0LjY1Wk00MC44NCwyNi42NGg1Ljg3bC0yLjg4LTguMjZoLS4wOFoiLz48cGF0aCBjbGFzcz0iY2xzLTEiIGQ9Ik01NC40OCwxNS4wN2gzLjA3VjM0LjI4SDU0LjQ4WiIvPjxwYXRoIGNsYXNzPSJjbHMtMSIgZD0iTTYxLDE1LjA3SDY0VjM0LjI4SDYxWiIvPjxwYXRoIGNsYXNzPSJjbHMtMSIgZD0iTTY3LjQ1LDE1LjA3aDMuMDdWMThINjcuNDVabTAsNS4zaDMuMDdWMzQuMjhINjcuNDVaIi8+PHBhdGggY2xhc3M9ImNscy0xIiBkPSJNNzYuMjUsMjguMTJhNS40LDUuNCwwLDAsMCwuMjMsMS41NkEzLjk0LDMuOTQsMCwwLDAsNzcuMTYsMzFhMy4zMywzLjMzLDAsMCwwLDEuMTYuOSwzLjg4LDMuODgsMCwwLDAsMS42Ny4zNCwzLjc0LDMuNzQsMCwwLDAsMi4xNy0uNTgsMy41LDMuNSwwLDAsMCwxLjIyLTEuNzRoMi45MWE1LjY5LDUuNjksMCwwLDEtLjg0LDJBNS43Nyw1Ljc3LDAsMCwxLDg0LDMzLjQzYTYuMTYsNi4xNiwwLDAsMS0xLjg3LjkyLDcuODUsNy44NSwwLDAsMS0yLjE3LjMxLDcuNCw3LjQsMCwwLDEtMi45MS0uNTRBNS45NCw1Ljk0LDAsMCwxLDc1LDMyLjYxYTYuMTMsNi4xMywwLDAsMS0xLjMyLTIuMzEsOS4zMyw5LjMzLDAsMCwxLS40NS0zLDguNDEsOC40MSwwLDAsMSwuNDctMi44MUE3LjMyLDcuMzIsMCwwLDEsNzUsMjIuMTksNi4yNiw2LjI2LDAsMCwxLDc5LjkxLDIwYTYuMjMsNi4yMywwLDAsMSwzLC42OUE2LjM3LDYuMzcsMCwwLDEsODUsMjIuNWE3LjE3LDcuMTcsMCwwLDEsMS4yNSwyLjU5LDcuODksNy44OSwwLDAsMSwuMiwzWm03LjE2LTJhNS4xNiw1LjE2LDAsMCwwLS4zMS0xLjQsMy43OSwzLjc5LDAsMCwwLS43LTEuMTcsMy42NSwzLjY1LDAsMCwwLTEuMDgtLjgxLDMuMjQsMy4yNCwwLDAsMC0xLjQxLS4zMSwzLjY3LDMuNjcsMCwwLDAtMS40Ny4yOSwzLjQ2LDMuNDYsMCwwLDAtMS4xMy43OCwzLjkxLDMuOTEsMCwwLDAtLjc1LDEuMTcsNC4wOCw0LjA4LDAsMCwwLS4zMSwxLjQ1WiIvPjxwYXRoIGNsYXNzPSJjbHMtMSIgZD0iTTEwMS45MiwzNC4yOEg5OVYzMi40SDk5YTMuNjQsMy42NCwwLDAsMS0xLjgsMS43Myw2LjE0LDYuMTQsMCwwLDEtMi41MS41Myw2LjY5LDYuNjksMCwwLDEtMi44Ni0uNTgsNS42LDUuNiwwLDAsMS0yLTEuNTgsNi40Nyw2LjQ3LDAsMCwxLTEuMjEtMi4zNSwxMC4xNSwxMC4xNSwwLDAsMS0uNDEtMi45MkE5LjMyLDkuMzIsMCwwLDEsODguNjUsMjQsNi41Miw2LjUyLDAsMCwxLDkwLDIxLjcyLDUuMjEsNS4yMSwwLDAsMSw5MiwyMC40MSw2LjE1LDYuMTUsMCwwLDEsOTQuMTcsMjBhNy41Myw3LjUzLDAsMCwxLDEuMzIuMTIsNi44OCw2Ljg4LDAsMCwxLDEuMjkuMzksNS4xLDUuMSwwLDAsMSwxLjE0LjY5LDQuMSw0LjEsMCwwLDEsLjg4LDFoMHYtNy4xaDMuMDdaTTkxLjIxLDI3LjQ3YTYuODMsNi44MywwLDAsMCwuMjMsMS43NSw0LjYxLDQuNjEsMCwwLDAsLjcsMS41NCwzLjU0LDMuNTQsMCwwLDAsMS4yLDEuMDcsMy40NSwzLjQ1LDAsMCwwLDEuNzIuNDEsMy41LDMuNSwwLDAsMCwxLjc2LS40M0EzLjY3LDMuNjcsMCwwLDAsOTgsMzAuNjdhNS4wOSw1LjA5LDAsMCwwLC43LTEuNTdBNy4xNCw3LjE0LDAsMCwwLDk5LDI3LjMxYTUuNjEsNS42MSwwLDAsMC0xLTMuNiwzLjQyLDMuNDIsMCwwLDAtMi44MS0xLjMsMy40NiwzLjQ2LDAsMCwwLTEuODIuNDVBMy44MywzLjgzLDAsMCwwLDkyLjA4LDI0YTQuOTQsNC45NCwwLDAsMC0uNjcsMS42MUE4LjcxLDguNzEsMCwwLDAsOTEuMjEsMjcuNDdaIi8+PHBhdGggY2xhc3M9ImNscy0xIiBkPSJNMTA1LjEyLDIwLjg4YTkuNTEsOS41MSwwLDAsMSwxLjctMy4xOSw4LDgsMCwwLDEsMi44My0yLjIsOS4wNiw5LjA2LDAsMCwxLDQtLjgyLDksOSwwLDAsMSw0LC44Miw4LjA5LDguMDksMCwwLDEsMi44MiwyLjIsOS41MSw5LjUxLDAsMCwxLDEuNywzLjE5LDEzLjE0LDEzLjE0LDAsMCwxLDAsNy41OSw5LjIzLDkuMjMsMCwwLDEtMS43LDMuMTcsOC4yMSw4LjIxLDAsMCwxLTIuODIsMi4yLDkuMDksOS4wOSwwLDAsMS00LC44Miw5LjIsOS4yLDAsMCwxLTQtLjgyLDguMTYsOC4xNiwwLDAsMS0yLjgzLTIuMiw5LjIzLDkuMjMsMCwwLDEtMS43LTMuMTcsMTIuOTIsMTIuOTIsMCwwLDEsMC03LjU5Wm0xLjY4LDYuODhhOC4yOCw4LjI4LDAsMCwwLDEuMjksMi43MSw2LjY5LDYuNjksMCwwLDAsMi4yNSwxLjkzLDcsNywwLDAsMCwzLjI4LjcyLDYuODcsNi44NywwLDAsMCwzLjI3LS43Miw2LjY1LDYuNjUsMCwwLDAsMi4yNC0xLjkzLDguMjgsOC4yOCwwLDAsMCwxLjI5LTIuNzEsMTEuODUsMTEuODUsMCwwLDAsMC02LjE4LDguMzMsOC4zMywwLDAsMC0xLjI5LTIuN0E2LjY1LDYuNjUsMCwwLDAsMTE2Ljg5LDE3YTYuODcsNi44NywwLDAsMC0zLjI3LS43Miw3LDcsMCwwLDAtMy4yOC43Miw2LjY5LDYuNjksMCwwLDAtMi4yNSwxLjkzLDguMzMsOC4zMywwLDAsMC0xLjI5LDIuNywxMS41OCwxMS41OCwwLDAsMCwwLDYuMThaIi8+PHBhdGggY2xhc3M9ImNscy0xIiBkPSJNMTI3LjMyLDIxLjgyVjM0LjI4aC0xLjdWMjEuODJoLTIuMzZWMjAuNGgyLjM2VjE5LjEzYTkuMjgsOS4yOCwwLDAsMSwuMTQtMS42NCwzLjI0LDMuMjQsMCwwLDEsLjUxLTEuMjksMi40MiwyLjQyLDAsMCwxLDEtLjgzLDQuMDksNC4wOSwwLDAsMSwxLjY5LS4zYy4yNSwwLC40OCwwLC43LDBzLjQ1LDAsLjcyLjA4djEuNDVsLS42NC0uMDlhNCw0LDAsMCwwLS42LDAsMi4yMywyLjIzLDAsMCwwLTEuMDcuMjEsMS4yOCwxLjI4LDAsMCwwLS41NS41OCwyLjE3LDIuMTcsMCwwLDAtLjIxLjg1YzAsLjMyLDAsLjY3LDAsMS4wNVYyMC40aDIuNzR2MS40MloiLz48cGF0aCBjbGFzcz0iY2xzLTEiIGQ9Ik0xMzMuOCwyMS44MlYzNC4yOGgtMS42OVYyMS44MmgtMi4zN1YyMC40aDIuMzdWMTkuMTNhOS4zMiw5LjMyLDAsMCwxLC4xMy0xLjY0LDMuMjQsMy4yNCwwLDAsMSwuNTEtMS4yOSwyLjM5LDIuMzksMCwwLDEsMS0uODMsNC4wNyw0LjA3LDAsMCwxLDEuNjgtLjNjLjI1LDAsLjQ4LDAsLjcsMHMuNDYsMCwuNzMuMDh2MS40NWwtLjY1LS4wOWEzLjksMy45LDAsMCwwLS41OSwwLDIuMjUsMi4yNSwwLDAsMC0xLjA4LjIxLDEuMzQsMS4zNCwwLDAsMC0uNTUuNTgsMi4xNywyLjE3LDAsMCwwLS4yLjg1cTAsLjQ4LDAsMS4wNVYyMC40aDIuNzV2MS40MloiLz48cGF0aCBjbGFzcz0iY2xzLTEiIGQ9Ik0xNDUuNjcsMjMuMWEyLjgxLDIuODEsMCwwLDAtLjc5LTEsMy41MiwzLjUyLDAsMCwwLTEuMTUtLjU2LDUuNTMsNS41MywwLDAsMC0xLjM3LS4xNyw1LjY5LDUuNjksMCwwLDAtMS4xNS4xMiwzLjc1LDMuNzUsMCwwLDAtMS4wNi40LDIuNCwyLjQsMCwwLDAtLjc4Ljc0LDIsMiwwLDAsMC0uMjksMS4xMywxLjU4LDEuNTgsMCwwLDAsLjI4LDEsMi41LDIuNSwwLDAsMCwuNzEuNjYsNC4yNiw0LjI2LDAsMCwwLC45NC40NGMuMzQuMTIuNjYuMjEuOTQuMjlsMi4yNi41MWE2LjE1LDYuMTUsMCwwLDEsMS40NC4zOSw0LjU2LDQuNTYsMCwwLDEsMS4yNy43NCwzLjY5LDMuNjksMCwwLDEsLjc0LDQuNjQsNC4xNCw0LjE0LDAsMCwxLTEuMzEsMS4yOSw1LjQsNS40LDAsMCwxLTEuNzguNzEsOS41OSw5LjU5LDAsMCwxLTIsLjIyLDYuNDEsNi40MSwwLDAsMS00LTEuMTYsNC45Miw0LjkyLDAsMCwxLTEuNzMtMy43MWgxLjY5YTMuMzMsMy4zMywwLDAsMCwxLjI1LDIuNTksNC41Miw0LjUyLDAsMCwwLDIuODQuODgsNi40Miw2LjQyLDAsMCwwLDEuMjgtLjE0LDQuMTQsNC4xNCwwLDAsMCwxLjIyLS40NSwzLDMsMCwwLDAsLjkzLS44MiwyLjA2LDIuMDYsMCwwLDAsLjM3LTEuMjMsMS45MiwxLjkyLDAsMCwwLS4yNi0xLDIuMTksMi4xOSwwLDAsMC0uNjktLjcsNC4yNiw0LjI2LDAsMCwwLTEtLjQ4Yy0uMzctLjEyLS43NC0uMjMtMS4xMS0uMzJsLTIuMTgtLjQ4YTEzLjI3LDEzLjI3LDAsMCwxLTEuNTQtLjUsNSw1LDAsMCwxLTEuMjItLjcsMi44OSwyLjg5LDAsMCwxLS44Mi0xLDMuMzIsMy4zMiwwLDAsMS0uMy0xLjQ5LDMuMzksMy4zOSwwLDAsMSwuNDctMS44MSwzLjc0LDMuNzQsMCwwLDEsMS4yMy0xLjIxLDUuNjgsNS42OCwwLDAsMSwxLjY4LS42N0E4LjMzLDguMzMsMCwwLDEsMTQyLjYsMjBhNi43Niw2Ljc2LDAsMCwxLDIsLjI3LDQuNDksNC40OSwwLDAsMSwxLjU5Ljg0LDQsNCwwLDAsMSwxLjA5LDEuNCw1LDUsMCwwLDEsLjQ2LDJIMTQ2QTMuMjEsMy4yMSwwLDAsMCwxNDUuNjcsMjMuMVoiLz48cGF0aCBjbGFzcz0iY2xzLTEiIGQ9Ik0xNTEuMzgsMjkuNjlhNS4zNCw1LjM0LDAsMCwwLC44MywxLjc3LDQuNjMsNC42MywwLDAsMCwxLjQyLDEuMjksNCw0LDAsMCwwLDIuMDcuNTEsNC4xMSw0LjExLDAsMCwwLDIuOTEtMSw1LjEzLDUuMTMsMCwwLDAsMS40NS0yLjU4aDEuN2E2LjgxLDYuODEsMCwwLDEtMiwzLjY2LDUuOTEsNS45MSwwLDAsMS00LjA4LDEuMjksNi40OSw2LjQ5LDAsMCwxLTIuODMtLjU4LDUuMzgsNS4zOCwwLDAsMS0yLTEuNTksNi44NSw2Ljg1LDAsMCwxLTEuMTEtMi4zNCwxMC43MSwxMC43MSwwLDAsMS0uMzctMi44MSwxMC4xNSwxMC4xNSwwLDAsMSwuMzctMi42OSw3LjMzLDcuMzMsMCwwLDEsMS4xMS0yLjM2LDUuNjYsNS42NiwwLDAsMSwyLTEuNjZBNS44Niw1Ljg2LDAsMCwxLDE1NS43LDIwYTUuNjgsNS42OCwwLDAsMSwyLjg2LjY4LDUuNTEsNS41MSwwLDAsMSwxLjkyLDEuNzYsNy4yOSw3LjI5LDAsMCwxLDEuMDYsMi41LDEwLjYzLDEwLjYzLDAsMCwxLC4yNywyLjg3SDE1MS4xM0E3LjQ1LDcuNDUsMCwwLDAsMTUxLjM4LDI5LjY5Wm04LjQtNS4xOGE1LjMzLDUuMzMsMCwwLDAtLjg3LTEuNTcsNC4yMyw0LjIzLDAsMCwwLTEuMzgtMS4xLDMuODYsMy44NiwwLDAsMC0xLjgzLS40MiwzLjk0LDMuOTQsMCwwLDAtMS44NS40Miw0LjA5LDQuMDksMCwwLDAtMS4zNywxLjEsNS42NCw1LjY0LDAsMCwwLS45MSwxLjU5LDcuODMsNy44MywwLDAsMC0uNDQsMS44NGg5QTYuMTIsNi4xMiwwLDAsMCwxNTkuNzgsMjQuNTFaIi8+PHBhdGggY2xhc3M9ImNscy0xIiBkPSJNMTY5LjEzLDIwLjR2MS40MkgxNjYuM3Y5LjM3YTMuMDYsMy4wNiwwLDAsMCwuMjMsMS4zYy4xNi4zMi41NC40OSwxLjE1LjUzYTE0LjA5LDE0LjA5LDAsMCwwLDEuNDUtLjA4djEuNDJxLS4zNywwLS43NSwwYy0uMjUsMC0uNSwwLS43NiwwYTMuMzIsMy4zMiwwLDAsMS0yLjM2LS42NSwzLjMyLDMuMzIsMCwwLDEtLjY1LTIuNDR2LTkuNWgtMi40MlYyMC40aDIuNDJWMTYuMjNoMS42OVYyMC40WiIvPjxwYXRoIGNsYXNzPSJjbHMtMSIgZD0iTTE3OS4wOSwyMy4xYTIuODQsMi44NCwwLDAsMC0uOC0xLDMuMzcsMy4zNywwLDAsMC0xLjE0LS41Niw1LjUzLDUuNTMsMCwwLDAtMS4zNy0uMTcsNS42OSw1LjY5LDAsMCwwLTEuMTUuMTIsMy43NSwzLjc1LDAsMCwwLTEuMDYuNCwyLjQsMi40LDAsMCwwLS43OC43NCwyLDIsMCwwLDAtLjMsMS4xMywxLjU5LDEuNTksMCwwLDAsLjI5LDEsMi4zNywyLjM3LDAsMCwwLC43MS42Niw0LjI2LDQuMjYsMCwwLDAsLjk0LjQ0Yy4zNC4xMi42NS4yMS45NC4yOWwyLjI2LjUxYTYuMTUsNi4xNSwwLDAsMSwxLjQ0LjM5LDQuNTYsNC41NiwwLDAsMSwxLjI3Ljc0LDMuNzUsMy43NSwwLDAsMSwuOSwxLjEzLDMuNDQsMy40NCwwLDAsMSwuMzUsMS41OCwzLjQ5LDMuNDksMCwwLDEtLjUxLDEuOTMsNC4xNCw0LjE0LDAsMCwxLTEuMzEsMS4yOSw1LjQ2LDUuNDYsMCwwLDEtMS43OS43MSw5LjUsOS41LDAsMCwxLTIsLjIyLDYuMzksNi4zOSwwLDAsMS00LTEuMTYsNSw1LDAsMCwxLTEuNzQtMy43MUgxNzJhMy4zMywzLjMzLDAsMCwwLDEuMjUsMi41OSw0LjUsNC41LDAsMCwwLDIuODQuODgsNi40Miw2LjQyLDAsMCwwLDEuMjgtLjE0LDQuMjUsNC4yNSwwLDAsMCwxLjIyLS40NSwzLDMsMCwwLDAsLjkzLS44MiwyLjA2LDIuMDYsMCwwLDAsLjM2LTEuMjMsMS45MiwxLjkyLDAsMCwwLS4yNS0xLDIuMTksMi4xOSwwLDAsMC0uNjktLjcsNC40Nyw0LjQ3LDAsMCwwLTEtLjQ4Yy0uMzctLjEyLS43NC0uMjMtMS4xMi0uMzJsLTIuMTgtLjQ4YTEzLjc0LDEzLjc0LDAsMCwxLTEuNTMtLjUsNC44Nyw0Ljg3LDAsMCwxLTEuMjMtLjcsMywzLDAsMCwxLS44Mi0xLDMuNDcsMy40NywwLDAsMS0uMjktMS40OSwzLjMsMy4zLDAsMCwxLC40Ny0xLjgxLDMuNzEsMy43MSwwLDAsMSwxLjIyLTEuMjEsNS45MSw1LjkxLDAsMCwxLDEuNjgtLjY3QTguNDIsOC40MiwwLDAsMSwxNzYsMjBhNi43Niw2Ljc2LDAsMCwxLDEuOTUuMjcsNC40OSw0LjQ5LDAsMCwxLDEuNTkuODQsNC4xLDQuMSwwLDAsMSwxLjA5LDEuNCw1LDUsMCwwLDEsLjQ1LDJoLTEuNjlBMy4zNiwzLjM2LDAsMCwwLDE3OS4wOSwyMy4xWiIvPjxyZWN0IGNsYXNzPSJjbHMtMSIgeD0iMTYuMzQiIHk9IjE4LjQyIiB3aWR0aD0iNS42NyIgaGVpZ2h0PSIxNi4wNyIvPjxyZWN0IGNsYXNzPSJjbHMtMSIgeD0iMjEuODUiIHk9IjQuMSIgd2lkdGg9IjE2LjMyIiBoZWlnaHQ9IjUuNzEiIHRyYW5zZm9ybT0ibWF0cml4KDAuODMsIC0wLjU2LCAwLjU2LCAwLjgzLCAxLjI5LCAxOC4wOSkiLz48cmVjdCBjbGFzcz0iY2xzLTEiIHg9IjUuNSIgeT0iLTEuMjEiIHdpZHRoPSI1LjcxIiBoZWlnaHQ9IjE2LjMyIiB0cmFuc2Zvcm09InRyYW5zbGF0ZSgtMi4wOSA5Ljk1KSByb3RhdGUoLTU1Ljc3KSIvPjwvZz48L2c+PC9zdmc+",Web2,,,,,,,,0,1,1
Almavest,Lender,RWAs,ALMA uses innovative technology to provide creative debt financing to companies with a positive social impact.,,"ALMA uses creative investment instruments and innovative technology to finance diverse social and environmental impact businesses around the world. We combine real-time analytics and deep industry experience to to support high-growth fintechs, carbon projects, and social enterprises with on-demand finance.",https://www.almavest.com/,"https://static.wixstatic.com/media/25375d_8fc5baa4afd642e8aa88f4edfb46d4d7~mv2.png/v1/fill/w_116,h_45,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/ALMA%20Logo.png",Web2,,,,,,info@almavest.com,,,,1
Aquari,DAO,Ocean,Aquari is a community governed cryptocurrency with the goal to restore all polluted bodies of water on Earth.,Yes,"Aquari was formed in the wake of a scam in early 2021 where investors had their money stolen from the creators of a meme cryptocurrency. Distraught by the hit to their pockets fueled by meme mania, this community pondered the idea of creating their own cryptocurrency – one that had a legitimate utility and one in which it's developers would value transparency as their number one virtue. There needed to be a solid utility behind the economy of the token so that it's growth would move in tandem with market enthusiasm. As an avid lover of animals and nature, the community set out to develop a token that not only could help save the planet but also garner constant support from enthusiasts and newcomers alike.",https://aquarifoundation.com/,https://aquarifoundation.com/images/footer__logo.png,Binance,https://twitter.com/AquariOfficial,https://discord.gg/wtbnAYVhCW,https://aquarifoundation.com/whitepaper.html,,,contact@aquarifoundation.com,,0,1,1
Arbol,Product,RWAs | Stewardship,Arbol is an InsurTech platform for parametric protection products covering external risks such as unexpected weather. Arbol's platform aims to bring transparency and efficiency to the weather risk market at a lower cost.,Yes,"Traditional insurance companies would offer their product by charging high costs for premium services, consequently leaving behind smaller and medium companies that wouldn’t be able to afford these costs. Arbol aims to change that by using parametric: this means that their contracts payout is based on predetermined, verifiable, and objective metrics, helping to reduce costs. Arbol's approach also improves upon standard parametric insurance by combining parametric insurance's precision and flexibility with the security, transparency, and efficiency of the blockchain.",https://www.arbolmarket.com/,https://www.arbolmarket.com/wp-content/uploads/2020/11/arbollogo.png,Web2,https://twitter.com/arbolMarket,https://www.facebook.com/arbolmarket,TBA,https://docs.ipfs.io/concepts/case-study-arbol/,Good,info@arbolmarket.com ,,1,1,1
Astral Protocol,Protocol,MRV | Geospatial,Astral's vision is to build a protocol and community dedicated to creating an ecosystem of location-based Web3 applications and spatial contracts.,Yes,"Astral aims to replicate the functionality required for systems of local taxation, voting, and physical security, leveraging natural capital currencies and other tokenized natural assets. As well as liable to tie information about physical reality — where someone or something is, or measures of environmental conditions — to smart contracts. Some goals of Astral’s designs are; A: to make building location-based dapps easier, B: to create spatial data storage systems fit for web3 (i.e. verifiable, uncensorable, permissionless, etc).
",https://astral.global/,https://pbs.twimg.com/profile_images/1301144670177820672/qX3mlQtp_400x400.jpg,Celo,https://twitter.com/astralprotocol,https://discord.gg/BMKQyP7DrD,https://docs.astral.global/astral-litepaper ,https://docs.astral.global/ ,,"contact@astral.global
",,1,1,1
Atem,Product,Carbon | Demand,"Atem Network is a decentralized social infrastructure of web3 where users can chat, trade and govern in a p2p secured group space.",Yes,"On ATEM’s platform, users will be able to chat about a cryptocurrency or an NFT and be able to execute a trade there and then. This can be performed because all data is on-chain and able to be accessed via Web3 APIs and through end-to-end encryption. On ATEM, users not only can chat to each other like in traditional chatrooms, but send tokens and NFTs as well. ATEM’s one-stop solution allows users to trade tokens and NFTs seamlessly in one place without the need to leave the chat room and log onto another exchange platform to perform the transaction. Trade prices are offered by a tier-1 swap on each chain. All transactions are done through APIs and are executed by smart contracts, offering a smooth user experience.",https://www.atem.io/,"https://static.wixstatic.com/media/cb66f3_20bb4142c1f7426ca03dff12a08b2020~mv2.png/v1/crop/x_0,y_0,w_737,h_608/fill/w_66,h_55,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/atem4.png",Celo,https://twitter.com/atem_network?s=20,https://discord.gg/8jjKeHwkev,https://www.atem.io/whitepaper,,,,,0,1,1
Athena Protocol,Data,MRV,"We work to ensure equity, accessibility, and transparency in ecological and social governance through the development of distributed ledger technology solutions that keep individual data sovereignty at the core of their design.",,"Athena Protocol is building IOT and edge compute infrastructure solutions for bridging the gap between the real world and the blockchain to ensure transparency and equity, and algorithmic accountability in automated data collection and verification processes.
",https://www.athena.tech/,https://pbs.twimg.com/profile_images/1508983884708560909/HW9cQfr4_400x400.jpg,Celo,https://mobile.twitter.com/_athenaprotocol,,https://docs.google.com/document/d/15d3vw21ephEc-gfiQF4I4TEwafeUn_I9XnMlr4F2f24/edit,,,,,0,1,1
Avano,Protocol,,Akorn DAO manages a regenerative NFT marketplace that incentivizes actions that increase and maintain native ecosystems (ie. tree planting).,,"Akorn is a decentralized community (DAO) that collectively works towards tokenizing and rewarding green (environmental/ sustainable) actions. Currently the primary focus is on creating methodologies for measurement and verification, incentivizing, and finding benefits of actions that increase and maintain native ecosystems. The primary way for incentivizing these actions is through a regenerative NFT marketplace and minting protocol.",https://linktr.ee/Avano_io,https://pbs.twimg.com/profile_images/1494445096053325842/zxT6DGVz_400x400.jpg,Polygon,https://mobile.twitter.com/avano_io,,https://avano.gitbook.io/avano/,,,,,0,1,1
Avatree,NFT,Carbon | Demand,,,Avatree creates NFT trees that grow by sequestering carbon.,https://www.avatree.xyz/,https://pbs.twimg.com/profile_images/1513338256913575936/sR8ZpOW6_400x400.jpg,Solana,https://twitter.com/_avatree,TBA,,,,,,0,1,1
BasinDAO,Ground,RWAs | Carbon | Supply,"We use land ownership, carbon markets, and an emerging eco-credit class to create absolute returns and climate resilience.",,"We generate industry leading, fully verifiable, net-positive carbon and eco-credits through protocol owned real estate and joint ventures with landowners. We develop EcoCredits by measuring biodiversity condition and net gain at stewardship sites, ensuring highest quality ecosystem carbon capture and long term storage, understanding the social & ecological benefits of optimized water usage & conservation, and capturing  value through drought, fire, and flood risk resilience. The $BASIN token bundles protocol owned real estate and ecocredit supply for real asset-backed exposure to natural capital on the blockchain. basinDAO is global DAO reducing/removing carbon, restoring/protecting nature and improving human health/wealth.

Also known as the ""project developer"" DAO, basin works at the real property level building and executing climate, nature and carbon projects with an emphasis on ""core benefits"" such as biodiversity, ecosystem services and climate resilience.  ",https://www.basin.global/,https://assets.website-files.com/61b36b129c889600aeaef0a8/61b36f55aca0331344abc6f5_Copy%20of%20Copy%20of%20basin%20white.png,TBA,https://twitter.com/basinDAO,,,,,,,0,1,1
BICOWG,Network,Education,,,"A coalition of blockchain protocols, projects and nonprofits working together to explore carbon measurement methodology and incentivize carbon markets.",https://bicowg.org/,https://bicowg.org/wp-content/uploads/2021/12/bicowg_logo.jpg,Web2,,,,,,,,0,1,1
Binkabi,dApp,RWAs,We are building a decentralised commodity trading and financing network. Join us to participate in the explosive growth of emerging markets.,,"Binkabi is a Fintech start-up that is reimagining global commodity trade to create a more affluent and fairer system for all in the Binkabi network.
Binkabi’s core innovation, the Barter Block, enables direct, secure and cost-effective physical commodity trading in a decentralised manner through the use of blockchain technology. Barter Block incentivises the automatic balancing of bilateral trade, empowering countries to trade internationally in their local currencies. The Binkabi name and logo is inspired by the West African symbol Bi Nka Bi for peace and harmony.",https://www.binkabi.io/,https://pbs.twimg.com/profile_images/1000099275513118720/eyXGtIXx_400x400.jpg,Celo,https://twitter.com/binkabi_io,https://t.me/binkabi,,,,hello@binkabi.io,,0,1,1
BitGreen,L1,Carbon | Tokenization,Bitgreen combines blockchain technology and green innovation to drive capital into critically important sustainability initiatives. Bitgreen’s goal is to raise $1 Trillion for sustainability projects in 10 years.,Yes,"Bitgreen is an open and permissionless blockchain built to meet the needs of NGOs, corporate ESG groups, and purpose-driven innovation in Web3. Bitgreen makes it easy to finance, originate and purchase high-quality, transparent Carbon Credits that conserve nature, remove atmospheric CO2 and send financial benefits to local communities. The Bitgreen Impact Investment Platform delivers the first blockchain marketplace for discovering and buying digital green bonds.",https://bitgreen.org/,https://pbs.twimg.com/profile_images/1482010008636248070/XojjS5pX_400x400.jpg,Polkadot,https://twitter.com/bitgreen_,TBA,TBA,TBA,,info@bitgreen.org https://bitgreen.org/contact ,,1,1,1
